"columnName","recordCount","percentPopulated","uniqueCount","uniquePercent","topValue1","topValue2","topValue3","topValue4","topValue5"
"SORT_ID","544","100.0","544","100.0","SENDJ-1_00000001 (1)","SENDJ-1_00000004 (1)","SENDJ-1_00000005 (1)","SENDJ-1_00000006 (1)","SENDJ-1_00000007 (1)"
"Company_Name","544","100.0","539","99.08","K&L Gates Llp (2)","Reed Smith Llp (2)","Dechert Llp (2)","Advokatfirmaet Thommessen As (2)","Murgitroyd & Company Limited (2)"
"Location_Type","539","99.08","5","0.93","Headquarters (346)","Principal Subsidiary (102)","Subsidiary (83)","Single Location (6)","Branch (2)"
"Ownership_Type","544","100.0","2","0.37","Unlisted (532)","Listed (12)","","",""
"Dow_Jones_Industry","544","100.0","2","0.37","Legal Services (543)","Advocacy Services (Discontinued from 15th March 2016) (1)","","",""
"SIC","543","99.82","18","3.31","8111 (479)","9222 (27)","6541 (13)","7389 (7)","6719 (2)"
"SIC_Descriptor","543","99.82","18","3.31","Legal Services (479)","Legal Counsel and Prosecution (27)","Title Abstract Offices (13)","Business Services, NEC (7)","Offices of Holding Companies, NEC (2)"
"NAICS","544","100.0","19","3.49","541110 (480)","922130 (27)","541191 (13)","541199 (4)","561499 (3)"
"NAICS_Descriptor","544","100.0","19","3.49","Offices of Lawyers (480)","Legal Counsel and Prosecution (27)","Title Abstract and Settlement Offices (13)","All Other Legal Services (4)","All Other Business Support Services (3)"
"NACE","544","100.0","19","3.49","74.11 (494)","75.23 (27)","74.8 (4)","74.87 (2)","74.85 (2)"
"NACE_Descriptor","544","100.0","19","3.49","Legal activities (494)","Justice and judicial activities (27)","Miscellaneous business activities n.e.c. (4)","Other business activities n.e.c. (2)","Secretarial and translation activities (2)"
"Exchange","12","2.21","4","33.33","London Stock Exchange (5)","Australian Stock Exchange Ltd (4)","The Nasdaq Stock Market (2)","Tokyo Stock Exchange (1)",""
"Index_Membership","3","0.55","2","66.67","Dow Jones U.S. Total Market Index, NASDAQ, Russell 3000 Index (Nasdaq), Russell 2000 Index (Nasdaq) (2)","ASX All Ordinaries (1)","","",""
"Auditor/Accountant","47","8.64","36","76.6","RSM NORGE AS (7)","RSM International (3)","Deloitte Touche Tohmatsu Limited (2)","CROWE PARTNER REVISJON AS (2)","Gelman Rosenberg & Freedman B (2)"
"URL","494","90.81","428","86.64","http://www.dentons.com (6)","http://www.dlapiper.com (5)","http://www.cms.law (5)","http://www.bakermckenzie.com (5)","http://www.nortonrosefulbright.com (4)"
"Address1","518","95.22","499","96.33","'tower 2 Darling Park' Level 22 201 Sussex Street (4)","4 More London Riverside (3)","70 Sir John Rogerson's Quay (2)","One Wood Street (2)","One Fleet Place (2)"
"Address2","106","19.49","104","98.11","100 Old Hall Street (2)","Auckland Central (2)","Off Nana Mava Main Road (1)","2n Philip Courtney  Canary Wharf (1)","50 Holborn Viaduct (1)"
"Address3","0","0.0","0","0","","","","",""
"Contact_Name","536","98.53","528","98.51","Andrew Nathaniel Blattman (4)","Alexander Jozef Kaarls (3)","Peter Clough (2)","Elisabeth Antonia Maria Stanley-Smith-Van Der Velden (2)","John Park (2)"
"Contact_Title","515","94.67","55","10.68","Director (96)","Designated Limited Liability Partnership Member (91)","Partner (54)","President (34)","Managing Partner (32)"
"Contact_Number","463","85.11","446","96.33","44 2072421212 (3)","61 282478000 (3)","44 2030880000 (2)","44 2073490296 (2)","44 2079194500 (2)"
"Contact_Fax","59","10.85","58","98.31","45 33344001 (2)","52 5553461500 (1)","34 913992408 (1)","41 813004988 (1)","69 6788204 (1)"
"Contact_E-Mail_Address","3","0.55","3","100.0","companysecretary@iphltd.com.au (1)","nick@anexo-group.com (1)","ir@nex-tone.co.jp (1)","",""
"City","544","100.0","226","41.54","London (77)","Sydney (22)","New York (19)","Oslo (13)","Toronto (12)"
"State/Province","527","96.88","164","31.12","London (75)","NSW (26)","CA (20)","NY (19)","ON (15)"
"Country/Region","544","100.0","37","6.8","USA (149)","England (120)","Australia (43)","China (31)","Canada (26)"
"Postal_Code","524","96.32","448","85.5","2000 (25)","3000 (6)","4000 (5)","1010 (5)","00130 (4)"
"Phone","471","86.58","454","96.39","44 2072421212 (3)","61 282478000 (3)","44 2030880000 (2)","44 2073490296 (2)","44 2079194500 (2)"
"Fax","63","11.58","62","98.41","45 33344001 (2)","52 5553461500 (1)","34 913992408 (1)","41 813004988 (1)","69 6788204 (1)"
"Sales,_USD","544","100.0","517","95.04","60552900.0 (10)","72891993.0 (5)","71136000.0 (4)","143701914.0 (3)","247051200.0 (2)"
"Audit_Fees_(Including_Non-Audit_Fees),_USD","12","2.21","12","100.0","4378000.0 (1)","869372.0 (1)","265422.0 (1)","470177.0 (1)","371591.0 (1)"
"Non-Audit_Fees,_USD","0","0.0","0","0","","","","",""
"Employees","532","97.79","370","69.55","9.0 (18)","410.0 (13)","2.0 (12)","500.0 (7)","1600.0 (6)"
"Market_Cap,_USD","11","2.02","11","100.0","1498368527.0 (1)","850987530.0 (1)","231203719.0 (1)","95445651.0 (1)","143714718.0 (1)"
"Sales_Growth","156","28.68","30","19.23","0.0 (127)","0.0657248068079724 (1)","0.254180775164901 (1)","8.29244759781567 (1)","0.0760697305863708 (1)"
"Employee_Growth","150","27.57","22","14.67","0.0 (128)","0.02 (2)","-0.18 (1)","-0.139551699204628 (1)","0.230769230769231 (1)"
"EPS,_USD","2","0.37","2","100.0","0.0717691536146902 (1)","0.575770514546094 (1)","","",""
"Net_Income,_USD","194","35.66","154","79.38","0.0 (40)","5318392.0 (2)","37838064000.0 (1)","151955605.0 (1)","974298031.0 (1)"
"Net_Profit_Margin","12","2.21","12","100.0","0.021117647682023 (1)","0.100396301188904 (1)","0.0584027085314102 (1)","0.101256244391766 (1)","0.0656654907740219 (1)"
"Total_Assets,_USD","228","41.91","221","96.93","0.0 (7)","-9.22337203685478E+18 (2)","331022739000.0 (1)","1974471885.0 (1)","2501947381.0 (1)"
"Total_Liabilities,_USD","201","36.95","195","97.01","0.0 (7)","331022739000.0 (1)","1974471885.0 (1)","2501947381.0 (1)","2557407423.0 (1)"
"Beta,_last_5_years","12","2.21","12","100.0","1.50293545185308 (1)","0.703967698728634 (1)","0.332445664157914 (1)","0.299307150943388 (1)","0.333443786419297 (1)"
"P/E_Ratio","10","1.84","10","100.0","157.382 (1)","25.0 (1)","15.5685 (1)","5.30835 (1)","11.2903 (1)"
"Current_Ratio","213","39.15","62","29.11","1.0 (17)","1.4 (12)","1.1 (10)","2.8 (9)","1.2 (9)"
"Debt/Equity_Ratio","11","2.02","11","100.0","5.35792553632562 (1)","77.5342897682485 (1)","51.5766018100111 (1)","47.8306063281548 (1)","80.9764612008777 (1)"
"Debt/Assets_Ratio","11","2.02","11","100.0","1.92902320542839 (1)","37.4447997563575 (1)","25.3995500272804 (1)","29.5268209526976 (1)","36.9397857877351 (1)"
"Return_on_Equity","12","2.21","12","100.0","0.0896696432301122 (1)","0.100377571556166 (1)","0.127162449587549 (1)","0.0988152107853068 (1)","0.102006039354214 (1)"
"Return_on_Assets","203","37.32","136","67.0","0.0 (23)","0.008 (8)","0.004 (6)","0.052 (4)","0.01 (3)"
"Symbol","11","2.02","11","100.0","LZ (1)","jXIPH (1)","lLGTLY (1)","lLANX (1)","lLKGH (1)"
"DUNS","544","100.0","544","100.0","985480701 (1)","229501804 (1)","202524930 (1)","676294758 (1)","671452274 (1)"
"Business_Description","533","97.98","39","7.32","Legal Services Office (445)","Legal Counsel/Prosecution (27)","Title Abstract Office (13)","Legal Services Nsk (9)","Business Services (3)"
"Bank_Name","0","0.0","0","0","","","","",""
"Selected_Legal_Status_Categories","509","93.57","7","1.38","Corporation (217)","Limited Liability Partnership (198)","Partnership of Unknown Type (39)","State-Owned Company (26)","Non-Profit Organization (15)"
"Hierarchy_Designation","316","58.09","2","0.63","Global Ultimate (281)","Domestic Ultimate (35)","","",""
"Ultimate_Parent_Name","544","100.0","465","85.48","IPH Ltd. (11)","Government Of Socialist Republic Of Vietnam (11)","Government Of The Republic Of China (Taiwan) (5)","Allen Overy Shearman Sterling Llp (4)","Gobierno Federal De Los Estados Unidos Mexicanos (4)"
"Ultimate_Parent_Location","544","100.0","41","7.54","USA (149)","England (125)","Australia (38)","China (31)","Canada (26)"
