SORT_ID,Company Name,Location Type,Ownership Type,Dow Jones Industry,SIC,SIC Descriptor,NAICS,NAICS Descriptor,NACE,NACE Descriptor,Exchange,Index Membership,Auditor/Accountant,URL,Address1,Address2,Address3,Contact Name,Contact Title,Contact Number,Contact Fax,Contact E-Mail Address,City,State/Province,Country/Region,Postal Code,Phone,Fax,"Sales, USD","Audit Fees (Including Non-Audit Fees), USD","Non-Audit Fees, USD",Employees,"Market Cap, USD",Sales Growth,Employee Growth,"EPS, USD","Net Income, USD",Net Profit Margin,"Total Assets, USD","Total Liabilities, USD","Beta, last 5 years",P/E Ratio,Current Ratio,Debt/Equity Ratio,Debt/Assets Ratio,Return on Equity,Return on Assets,Symbol,DUNS,Business Description,Bank Name,Selected Legal Status Categories,Hierarchy Designation,Ultimate Parent Name,Ultimate Parent Location
SENDJ-1_00000001,Microsoft Round Island One Unlimited Company,Principal Subsidiary,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,,70 Sir John Rogerson's Quay,,,Benjamin Owen Orndorff,Director,,,,Dublin 2,,Ireland,D02R296,,,38031000000.0,,,4.0,,,,,37838064000.0,,331022739000.0,331022739000.0,,,0.5,,,,0.114,,985480701,Legal Services Office,,Corporation,,Microsoft Corp.,United States
SENDJ-1_00000002,Seiwa Patent & Law,Single Location,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.seiwapat.jp,1-23-1  Toranomon,Toranomon Hills Mori Tower 10f.,,Atsushi Aoki,Proprietor,81 335971234,,,Minato-Ku,TKY,Japan,105-0001,81 335971234,,34134960000.0,,,300.0,,,,,,,,,,,,,,,,,691746457,Legal Services Office,,Limited Liability Partnership,,
SENDJ-1_00000003,Henan Zhengdao Japanese-Style Supply Chain Group Co.  Ltd.,Headquarters,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,,No.1602  Unit 2  Building 3  No.39  Huayuan Road  Jinshui Distri,,,Qiuya Hou,Legal Representative,,,,Zhengzhou,HA,China,450000,,,20111214240.0,,,452344.0,,,,,,,,,,,,,,,,,602740567,Legal Services Office,,Corporation,,
SENDJ-1_00000004,Pricewaterhousecoopers Services Limited,Principal Subsidiary,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.pwc.co.uk,1 Embankment Place,,,Simon Hunt,Director,44 2075835000,,,London,London,England,WC2N 6RH,44 2075835000,,3653019157.0,,,23320.0,,,,,151955605.0,,1974471885.0,1974471885.0,,,1.3,,,,0.095,,229501804,Legal Services Office,,Corporation,,Pricewaterhousecoopers Llp,England
SENDJ-1_00000005,Centre Integre Universitaire De Sante Et De Services Sociaux De La Capitale-Nationale,Principal Subsidiary,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://ciusss-capitalenationale.gouv.qc.ca,2601 Ch De La Canardire,,,Normand Julien,President And General Manager,1 418 663 5000,,,Quebec,QC,Canada,G1J 2G3,1 418 663 5000,,3501333132.0,,,17007.0,,,,,,,,,,,,,,,,,202524930,Legal Services Office,,,,Government Of Canada,Canada
SENDJ-1_00000006,Paschim Gujarat Vij Company Limited,Principal Subsidiary,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.pgvcl.com,'paschim Gujarat Vij Seva Sadan',Off Nana Mava Main Road,,Preeti Sharma,Managing Director,91 2812380425,,,Rajkot,GJ,India,360004,91 2812380425,,2957167153.0,,,6255.0,,,,,,,,,,,,,,,,,676294758,Legal Services Office,,State-Owned Company,,Gujarat Urja Vikas Nigam Limited,India
SENDJ-1_00000007,Clifford Chance Llp,Headquarters,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.cliffordchance.com,29 10 Upper Bank,2n Philip Courtney  Canary Wharf,,Charles Adams,Designated Limited Liability Partnership Member,44 2070061000,,,London,London,England,E14 5JJ,44 2070061000,,2835504595.0,,,7270.0,,,,,974298031.0,,2501947381.0,2501947381.0,,,2.1,,,,0.414,,671452274,Legal Services Office,,Limited Liability Partnership,Global Ultimate,Clifford Chance Llp,England
SENDJ-1_00000008,Allen Overy Shearman Sterling Llp,Headquarters,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.allenovery.com,One Bishops Square,,,Parya Badie,Designated Limited Liability Partnership Member,44 2030880000,,,London,London,England,E1 6AD,44 2030880000,,2716021862.0,,,6077.0,,,,,896229279.0,,2557407423.0,2557407423.0,,,2.8,,,,0.368,,737731146,Legal Services Office,,Limited Liability Partnership,Global Ultimate,Allen Overy Shearman Sterling Llp,England
SENDJ-1_00000009,Linklaters Llp,Headquarters,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.linklaters.com,One Silk Street,,,Aedamar Comiskey,Designated Limited Liability Partnership Member,44 2074562000,,,London,London,England,EC2Y 8HQ,44 2074562000,,2619778900.0,,,5634.0,,,,,802546776.0,,2335067616.0,2335067616.0,,,2.0,,,,0.365,,219469751,Legal Services Office,,Limited Liability Partnership,Global Ultimate,Linklaters Llp,England
SENDJ-1_00000010,Glanbia Nutritionals (Research) Limited,Subsidiary,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,,Glanbia House,,,Mark Garvey,Director,353 567772200,,,Kilkenny,Co Kilkenny,Ireland,R95 E866,353 567772200,,2386758614.0,,,11.0,,,,,,,,,,,,,,,,,986548345,Legal Services Nsk,,Corporation,,Glanbia Plc,Ireland
SENDJ-1_00000011,Freshfields Llp,Headquarters,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.freshfields.com,100 Bishopsgate,,,Jonathan Kembery,Designated Limited Liability Partnership Member,44 2079364000,,,London,London,England,EC2P 2SR,44 2079364000,,2206682222.0,,,5333.0,,,,,809185977.0,,2396648033.0,2396648033.0,,,2.0,,,,0.338,,211082856,Legal Services Office,,Limited Liability Partnership,Global Ultimate,Freshfields Bruckhaus Deringer Llp,England
SENDJ-1_00000012,Dla Piper International Llp,Headquarters,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.dlapiper.com,160 Alders Gate Street,,,Christopher Burden,Designated Limited Liability Partnership Member,44 2073490296,,,London,London,England,EC1A 4DD,44 2073490296,,1733786579.0,,,6275.0,,,,,559016834.0,,1729195251.0,1729195251.0,,,2.3,,,,0.325,,736140349,Legal Services Office,,Limited Liability Partnership,,Dla Piper International Llp,England
SENDJ-1_00000013,Hainan Runkun Supply Chain Management Co.  Ltd.,Subsidiary,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.shimge.com,Room D567  Office Building  No.2  Bonded Zone  Xinyingwan Distri,,,Chaolin Zeng,,,,,Haikou,HI,China,570000,,,1652289555.0,,,3.0,,,,,,,,,,,,,,,,,617643855,Legal Services Office,,Corporation,,"Tianshan Aluminum Group Co., Ltd.",China
SENDJ-1_00000014,Anhui Anxiang International Business Management Co.  Ltd.,Principal Subsidiary,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.enjoysun.net,No.4  Building North 001  Weier Road  Yaohai Industrial Park  Xi,,,Baogui Huang,Legal Representative,,,,Hefei,AH,China,230000,,,1572535558.0,,,56.0,,,,,,,,,,,,,,,,,602949101,Legal Services Office,,Corporation,,
SENDJ-1_00000015,Hogan Lovells International Llp,Headquarters,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.hoganlovells.com,Atlantic House,50 Holborn Viaduct,,Marie De Dampierre,Designated Limited Liability Partnership Member,44 2072962000,,,London,London,England,EC1A 2FG,44 2072962000,,1496048566.0,,,3603.0,,,,,528134281.0,,1581315091.0,1581315091.0,,,1.8,,,,0.365,,671469120,Legal Services Office,,Limited Liability Partnership,Global Ultimate,Hogan Lovells International Llp,England
SENDJ-1_00000016,Herbert Smith Freehills Global Llp,Headquarters,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.herbertsmithfreehills.com,Exchange House,Primrose Street,,Sue Gilchrist,Designated Limited Liability Partnership Member,44 2073748000,,,London,London,England,EC2A 2EG,44 2073748000,,1459551416.0,,,4375.0,,,,,445554887.0,,1436305110.0,1436305110.0,,,2.6,,,,0.316,,218427327,Legal Services Office,,Limited Liability Partnership,,
SENDJ-1_00000017,Ashurst LLP,,Unlisted,Legal Services,81,Legal services,5411,Legal Services,74.11,Legal activities,,,,http://www.ashurst.com,One Duval Square,,,Kylie Lane,Director,44 20 76381111,44 20 76381112,,England,,United Kingdom,England,44 20 76381111,44 20 76381112,1457548700.0,,,3536.0,,,,,,,,,,,,,,,,,211013214,,,,,
SENDJ-1_00000018,Allen Overy Shearman Sterling (Australia) Llp,Single Location,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.allenovery.com,L 25 85 Castlereagh St,,,Willem Michael Georges Dejonghe,Director,61 293737700,,,Sydney,NSW,Australia,2000,61 293737700,,1455797722.0,,,25.0,,,,,,,,,,,,,,,,,745083280,Legal Services Office,,Limited Liability Partnership,,
SENDJ-1_00000019,W.J. Wills Pty Ltd,Subsidiary,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.facebook.com/wjwillscafe,127 Market Street,,,Bradley Geoffrey Harris,Director,61 396963272,,,South Melbourne,VIC,Australia,3205,61 396963272,,1393299279.0,,,9.0,,,,,,,,,,,,,,,,,744031149,Legal Services Office,,Corporation,,
SENDJ-1_00000020,M.C. Dean  Inc.,Subsidiary,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.mcdean.com,10 Orange Street,,,William Dean,Director,,,,London,London,England,WC2H 7DQ,,,1392585698.0,,,187.0,,,,,41329903.0,,737337762.0,737337762.0,,,1.2,,,,0.061,,220016822,Legal Services Office,,Private Limited Company,Domestic Ultimate,M. C. Dean  Inc.,USA
SENDJ-1_00000021,Norton Rose Fulbright Canada Llp,Principal Subsidiary,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.nortonrosefulbright.com,400 3 Ave Sw Suite 3700,,,Jim Coleman,Partner,1 403 267 8222,,,Calgary,AB,Canada,T2P 4H2,1 403 267 8222,,1235256000.0,,,6000.0,,,,,,,,,,,,,,,,,248509072,Legal Services Office,,Limited Liability Partnership,,Norton Rose Fulbright Llp,England
SENDJ-1_00000022,Hogan Lovells Us Llp,Headquarters,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.hoganlovells.com,555 13th St Nw Clumbia Sq,,,Migual Zaldivar,Chief Executive Officer,1 202 637 5600,,,Washington,DC,USA,20004,1 202 637 5600,,1200000000.0,,,2030.0,,0.0,-0.18,,,,,,,,,,,,,,72659238,Legal Services Office,,Limited Liability Partnership,Global Ultimate,Hogan Lovells Us Llp,USA
SENDJ-1_00000023,Hainan Liangang Supply Chain Co.  Ltd.,Subsidiary,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,,Room B312  Office Building  No.2  Bonded Zone  Xinyingwan Distri,,,Zunhu Xiao,Chairman,,,,Hainan Tibetan Autonomous Pref,QH,China,813000,,,1179891866.0,,,9.0,,,,,,,,,,,,,,,,,600930661,Legal Services Office,,Corporation,,Hunan Valin Iron & Steel Group Co. Ltd.,China
SENDJ-1_00000024,K&L Gates Llp,Headquarters,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.klgates.com,,,,Michael Caccese,Chairman,,,,Pittsburgh,PA,USA,15222-2613,,,1179347000.0,,,3000.0,,,,,,,,,,,,,,,,,10441459,Legal Services Office,,Limited Liability Partnership,Global Ultimate,K&L Gates Llp,USA
SENDJ-1_00000025,Fiscal’a General De La Repœblica,Principal Subsidiary,Unlisted,Legal Services,9222,Legal Counsel and Prosecution,922130,Legal Counsel and Prosecution,75.23,Justice and judicial activities,,,,http://www.gob.mx,Av. Constituyentes No. 20,Roma Norte  Cuauhtemoc,,Alejandro Gertz Manero,Officer,52 5553460000,52 5553461500,,Mexico,CMX,Mexico,06700,52 5553460000,52 5553461500,1123919775.0,,,22456.0,,,,,,,,,,,,,,,,,812310134,Legal Counsel/Prosecution,,State-Owned Company,,Gobierno Federal De Los Estados Unidos Mexicanos,Mexico
SENDJ-1_00000026,Ashurst Llp,Headquarters,Unlisted,Legal Services,8111,Legal Services,541110,Offices of Lawyers,74.11,Legal activities,,,,http://www.ashurst.com,London Fruit & Wool Exchange,1 Duval Square,,Kylie Lane,Designated Limited Liability Partnership Member,44 2076381111,,,London,London,England,E1 6PW,44 2076381111,,1080879184.0,,,3905.0,,,,,340060407.0,,776441588.0,776441588.0,,,3.0,,,,0.45,,210089859,Legal Services Office,,Limited Liability Partnership,Global Ultimate,Ashurst Llp,England
